config,iops,p99_us
W3_sequential_bfq,719.916184,72876.032
W3_sequential_kyber,719.153819,71827.456
W3_sequential_mq-deadline,718.098374,72876.032
W3_sequential_none,721.717877,72876.032
W4_randwrite_bfq,439.679461,6207569.92
W4_randwrite_kyber,563.733585,3204448.256
W4_randwrite_mq-deadline,789.171774,2600468.48
W4_randwrite_none,266.758197,5133828.096
W5_concurrent_bfq,4850.44208,149946.368
W5_concurrent_kyber,5323.730591,61079.552
W5_concurrent_mq-deadline,5490.413421,63700.992
W5_concurrent_none,5021.378621,61079.552
